task_id,model,dimension,human_score,judge_score,tests_passed,tests_total
01_two_sum,opus,correctness,,5,6,6
01_two_sum,opus,completeness,,5,6,6
01_two_sum,opus,code_quality,,5,6,6
01_two_sum,opus,instruction_adherence,,5,6,6
01_two_sum,sonnet,correctness,,5,6,6
01_two_sum,sonnet,completeness,,5,6,6
01_two_sum,sonnet,code_quality,,5,6,6
01_two_sum,sonnet,instruction_adherence,,5,6,6
02_valid_parentheses,opus,correctness,,5,8,8
02_valid_parentheses,opus,completeness,,5,8,8
02_valid_parentheses,opus,code_quality,,5,8,8
02_valid_parentheses,opus,instruction_adherence,,5,8,8
02_valid_parentheses,sonnet,correctness,,5,8,8
02_valid_parentheses,sonnet,completeness,,5,8,8
02_valid_parentheses,sonnet,code_quality,,5,8,8
02_valid_parentheses,sonnet,instruction_adherence,,5,8,8
03_fizzbuzz,opus,correctness,,5,6,6
03_fizzbuzz,opus,completeness,,5,6,6
03_fizzbuzz,opus,code_quality,,5,6,6
03_fizzbuzz,opus,instruction_adherence,,5,6,6
03_fizzbuzz,sonnet,correctness,,5,6,6
03_fizzbuzz,sonnet,completeness,,5,6,6
03_fizzbuzz,sonnet,code_quality,,5,6,6
03_fizzbuzz,sonnet,instruction_adherence,,5,6,6
04_is_palindrome,opus,correctness,,5,7,7
04_is_palindrome,opus,completeness,,5,7,7
04_is_palindrome,opus,code_quality,,5,7,7
04_is_palindrome,opus,instruction_adherence,,5,7,7
04_is_palindrome,sonnet,correctness,,5,7,7
04_is_palindrome,sonnet,completeness,,5,7,7
04_is_palindrome,sonnet,code_quality,,5,7,7
04_is_palindrome,sonnet,instruction_adherence,,5,7,7
05_roman_to_int,opus,correctness,,5,8,8
05_roman_to_int,opus,completeness,,5,8,8
05_roman_to_int,opus,code_quality,,5,8,8
05_roman_to_int,opus,instruction_adherence,,5,8,8
05_roman_to_int,sonnet,correctness,,5,8,8
05_roman_to_int,sonnet,completeness,,5,8,8
05_roman_to_int,sonnet,code_quality,,5,8,8
05_roman_to_int,sonnet,instruction_adherence,,5,8,8
06_merge_intervals,opus,correctness,,5,7,7
06_merge_intervals,opus,completeness,,5,7,7
06_merge_intervals,opus,code_quality,,5,7,7
06_merge_intervals,opus,instruction_adherence,,5,7,7
06_merge_intervals,planted,correctness,,2,6,7
06_merge_intervals,planted,completeness,,2,6,7
06_merge_intervals,planted,code_quality,,4,6,7
06_merge_intervals,planted,instruction_adherence,,3,6,7
06_merge_intervals,sonnet,correctness,,5,7,7
06_merge_intervals,sonnet,completeness,,5,7,7
06_merge_intervals,sonnet,code_quality,,5,7,7
06_merge_intervals,sonnet,instruction_adherence,,5,7,7
07_max_subarray,opus,correctness,,5,7,7
07_max_subarray,opus,completeness,,5,7,7
07_max_subarray,opus,code_quality,,5,7,7
07_max_subarray,opus,instruction_adherence,,5,7,7
07_max_subarray,sonnet,correctness,,5,7,7
07_max_subarray,sonnet,completeness,,5,7,7
07_max_subarray,sonnet,code_quality,,5,7,7
07_max_subarray,sonnet,instruction_adherence,,5,7,7
08_group_anagrams,opus,correctness,,5,6,6
08_group_anagrams,opus,completeness,,5,6,6
08_group_anagrams,opus,code_quality,,5,6,6
08_group_anagrams,opus,instruction_adherence,,5,6,6
08_group_anagrams,sonnet,correctness,,5,6,6
08_group_anagrams,sonnet,completeness,,5,6,6
08_group_anagrams,sonnet,code_quality,,5,6,6
