task_id,base_model,bug_class,description,tests_passed,tests_total
06_merge_intervals,opus,wrong comparison operator (< vs <=) at a touching boundary,"merge condition uses `start < last[1]` instead of `start <= last[1]`, so two intervals that only touch at a shared endpoint (e.g. [1,4] and [4,5]) are left unmerged instead of combined into [1,5]",6,7
09_binary_search,opus,unhandled single-element case (off-by-one loop bound),"loop condition is `while lo < hi` instead of `while lo <= hi`, so when the search narrows to exactly one remaining candidate (lo == hi) the loop exits without checking it and a present target in a single-element array is reported as not found",6,7
12_spiral_order,opus,unhandled single-column edge case (missing boundary guard),"the final left-column traversal after finishing a row/column ring runs unconditionally instead of being guarded by `if left <= right`, so for a matrix with exactly one column the last already-visited row is revisited and its value is appended a second time",5,6
14_length_of_longest_substring,opus,wrong comparison operator omitted in an uncommon path,"the sliding-window start is advanced whenever the current character was seen before at all (`if ch in last_seen`) instead of only when that earlier occurrence is inside the current window (`and last_seen[ch] >= start`), so a stale index from before the window start incorrectly rewinds the window and overstates the longest length for inputs like ""abba""",6,7
16_multiply_strings,sonnet,off-by-one / wrong iteration direction,"the outer loop over num1's digits iterates left-to-right (`for i in range(n1_len)`) instead of right-to-left, so the positional (place-value) math for num1 is misaligned; short/simple products can still come out right by coincidence but genuine multi-digit carrying (e.g. 99*99) produces a wrong digit string",5,7
17_simplify_path,opus,off-by-one boundary on a stack guard,"the `..` handling only pops the path stack when `len(stack) > 1` instead of `len(stack) > 0`, so popping down to a single remaining directory component is silently skipped and an extra parent directory is left in the result",5,7
20_compare_version,sonnet,silent truncation of trailing segments,"version segments are compared with `zip(parts1, parts2)`, which silently stops at the length of the shorter version instead of padding missing trailing segments with 0; any non-zero segment beyond the shorter version's length is never compared, so e.g. compare_version(""1.0.1"",""1"") wrongly returns 0 instead of 1",5,7
21_decode_string,opus,missing integer-accumulation / multi-digit parsing bug,"the repeat-count parser does `num = int(ch)` (keeping only the most recently seen digit) instead of `num = num * 10 + int(ch)`, so any multi-digit repeat count greater than 9 (e.g. ""10[a]"") is silently read as just its last digit",5,6
22_valid_ipv4,sonnet,wrong comparison operator (> vs >=) at the 255 boundary,"the range check is `if int(part) >= 255: return False` instead of `> 255`, so the maximum legal octet value 255 itself is incorrectly rejected (e.g. ""255.255.255.255"" is reported invalid) while still correctly rejecting values above 255",8,9
23_my_atoi,opus,missing integer clamp/overflow handling,"the 32-bit clamp only checks the upper bound (`if value > INT_MAX: return INT_MAX`) and never checks `value < INT_MIN`, so a large-magnitude negative input (e.g. ""-91283472332"") is returned unclamped instead of being saturated to -2147483648",8,9
